Unnamed: 0,MSE,MAE,R2
baseline_1,9.645943708993023,2.5483956440756628,-0.0001016820532602
baseline_2,9.157956277213785,2.476032719444933,0.0504933728285411
baseline_3,8.598004731000465,2.3800087790881785,0.1085497434783266
regression_by_xgb,6.344070339194933,1.9116176348029,0.3422400535701034
bow_ridge_gt_5,3.1126488202723426,1.3857275831760572,0.6772772665163687
bow_ridge_gt_4,3.1073935549230773,1.384677597978894,0.6778221380057737
bow_ridge_gt_3,3.105674673032802,1.3839744453783915,0.6780003535045966
bow_ridge_gt_2,3.103572263367385,1.3834602801842857,0.6782183335702265
bow_ridge_gt_1,3.0985687924813288,1.382541497292126,0.6787370987424288
all_features_ridge,3.72375182825208,1.5176711857975993,0.6139174580179483
dnn,4.3774169504445375,1.650925908508733,0.5461447643420826
lstm,2.5678712338762373,1.2476147211927024,0.7178458702869451
ext_embedding text only concat,5.18457,1.800077,0.462458
